,mean_visit_duration,median_visit_duration,std_visit_duration
ABATILLES PLATES,49.81873549233361,52.34482981645122,27.36608097797538
ABATILLES RED,52.743063227728356,52.5090666691462,32.9791523248818
AVECESAR,55.042258786679355,54.4083333333333,33.68746200379489
BADOIT 33cl,52.17595741057968,54.25034785485152,30.86040643763688
BAILEYS,80.25086447683091,70.5490583340327,55.09508588966249
BIERE SANS GLUTEN,58.293783026371216,60.45089166760446,36.90298549887893
Boisson Rouge,63.53807074173304,61.110724091017026,31.417151072880028
BRIE,54.23040084540119,54.45645110778746,29.171696487399185
CAFEGOURMAND,57.7029691870363,55.6786758517908,32.611238592776594
CAFEGOURMANDMENU,56.55244716125727,57.2651666680972,42.09119612248034
CAPPUCCINO,55.207377207335504,57.6255965172093,23.302260667276343
CHAMPAGNE BOUTEILLE,43.095349141606405,43.095349141606405,28.38500169961873
CHAMPAGNE COUPE,60.315724531467716,60.96290858532946,3.2837132246756466
CHOCOLAT,91.91246000051498,106.601666669051,47.16413053580337
COCA,56.947632419919984,55.117978360820324,31.953499290777014
COCA ZERO,53.41091613013308,53.93846404587329,30.83796899639515
Cocktail Saint Valentin alcoolisé,58.92727982495965,41.49926666816079,52.699594889047
Cocktail Saint Valentin sans alcool,62.99189861085682,56.83665833473205,51.560233250431985
COMPOTEE CERISE NOIRE,42.02643008687651,50.59318810296114,22.458163390962266
Crème au bleu,58.32348638486846,58.2461666703224,37.12306109580419
CREME POIVRE VERT,51.431102380733144,54.61866875429134,12.861915156298432
CREMEBRULEE,59.35249758297161,58.095440400510604,36.20403120289086
CROQUANT,59.972843997558,56.8465666651726,36.9450559130857
DECA,60.67808380458689,62.48100000023845,41.62713597816485
DESPERADOS,60.50758444827632,60.09474054058642,41.40833550873235
Dessert du jour,60.1682307689618,67.3171166658401,49.96154453011376
Domaine La Colombette Rosé,96.45772777795804,92.71711666584021,31.869536162986673
DOUBLE EXPRESSO,60.55709828525406,58.738508957747314,34.38781790533291
DUOSALADE,54.23097067791451,55.65746851405319,31.510941170071387
EVIAN,47.097121662747924,49.444104870935824,31.392454451998496
EXPRESSO,59.80557179589458,60.98560712715005,36.5561659060599
FRAICHEUR,58.32771650025251,52.98934818496441,39.58708937228669
FUMAX,56.068234205021895,55.428266664346104,32.343401901666184
GATEAUCAROTTE,56.99282507991077,56.20176356855385,35.371125554067916
GET,45.34355296943875,10.822616664568601,62.57624156318096
GIN,55.83526034546765,53.41503237734782,36.954525367027024
GRIMBERGEN,58.034942171659964,60.08315819041227,37.162547654931615
GROSSEFRITE,55.371415989977606,55.3217166662216,34.03062282549246
HAMBOURGEOIS DU MOMENT,56.204232996003284,58.27430833180745,37.819935002885366
HAMBOURGEOIS DU MOMENT MENU,59.70423472485146,51.21644827617379,25.465003114049622
HAMPE,55.473157710120034,55.26249805338378,33.126726851250254
HOEGGARDEN,55.80598699459294,58.250600000222505,32.13595887769794
INFUSION,60.38130048018748,61.29395000139875,42.24127127269994
JUS FRUIT MAISON,54.632081543484745,54.412283333142604,31.72671318057013
KEKETTE EXTRA,58.271876345691695,56.09285506445838,38.613461336436494
KEKETTE RED,58.2879572861164,61.945333333810154,35.2142781245759
KIR,84.26516773122817,68.7212666670481,39.0332756928803
LATTE MACCHIATTO,59.89845476150517,65.5197833339373,28.049314148268923
LILLET,63.92037064343072,59.90633333126701,39.31469463599407
MALIBU,89.89189151833816,91.0234333356222,45.56168249239714
MARTINI,68.79189933346228,62.208364842581304,39.93231471546627
MAX CUVEE ,63.908499702969095,55.24462722055063,46.69884625453145
MAXCHAMPETRE,54.75979617293613,54.8397035544462,31.336976733204338
MAXCHAMPETRE MENU,54.1144920765122,51.31433905318604,43.051946304821136
MAXCOCOTTE,51.069336196307496,55.28748512384741,31.393185206840204
MAXCOCOTTE MENU,50.72850301372922,53.216156430431205,35.30128238885496
MAXHALEINE,56.096617440067014,57.82589031643397,27.794177024075694
MAXHALEINE MENU,61.78785731682703,54.431099998951,43.734778852929914
MAXIFLETTE,56.15106016919667,55.294066663583095,33.15347461198235
MAXIFLETTE MENU,58.68377756502448,56.29317794225648,38.71318628224841
MAXINUS,54.52219292365072,55.20791265785316,29.28794102553417
MAXINUS MENU,54.8337434869947,53.71252591210303,39.280390453031934
MAXNAUDOU,58.00074068445095,56.7100206627514,31.590387614403326
MAXNAUDOU MENU,57.5760835655413,53.63189797960143,46.19248776692353
MAXPARTOUT,55.582223713585556,54.55461171849988,33.43691945333568
MAXPARTOUT MENU,57.19104078489838,55.54494425690719,34.9306254660037
MAXPOUSSIN,51.098193235836064,54.51615332235818,33.30952837401923
MAXYONNAISE,59.77931751246344,58.520275000731154,36.932543861054846
MENU HAMBOURGEOIS,56.39085142035971,54.725305830087066,36.36346343025123
MENU PLAT,57.49596350590879,56.20519071175593,32.81118624390666
MINIMAX,52.89489199974674,53.950559890848126,28.6833697728476
MOKACCINO,49.917355554633666,61.409166665871886,41.87499821266224
MOUFLET,57.9668247170357,56.030132808606766,33.075261989279745
MOUSSECHOCO,58.88278904332906,56.45674462510139,35.70824765199687
NUGGETS,55.95562562073105,55.855178495741136,34.584692014743865
OASIS,60.246773664081495,58.164666664600404,33.437808006726556
ORANGINA,55.98556050975752,54.224151184696765,32.19467299672441
PAPOLLE BLANC MOEL,65.23085132073211,55.361343034087724,25.649686630809313
PAPOLLE BLANC SEC,35.213507391282064,32.7257763792377,28.38500169961873
PAPOLLE ROSE,60.83938330632045,62.48184953668643,23.43477420431669
PAPOLLE ROUGE,64.52632088278718,58.738508957747314,43.61154174405169
PASTIS,58.04397450435504,65.68820684596932,23.765949191068007
PATATEDOUCE,56.47814915618666,55.38277111313303,33.523909106107595
PELFORTH,58.04377555894998,56.5986608702661,32.039392005540684
PESTO,59.294063072770975,58.5063833355904,34.61962800010471
PICHET PUNCH,56.00868679949944,54.94267997703007,36.413770842257165
PICHET SANGRIA,47.4791893517204,59.84938344764709,28.590447141276986
PINEAU,89.0448377288772,84.74605000019075,34.79529788162305
PINT PELFORTH,57.75409919187407,54.828110287372034,38.150969594377216
PLANTAMAX,59.69474967527851,58.1162333329519,35.13309636282294
PLANTAMAX MENU,59.69360746038897,58.45751210115664,34.705024981488585
PLAT DU MOMENT,52.238693342357614,51.58759346381236,20.07983083515118
PORTO,81.90182555649012,78.3536166667938,55.015909243492544
PUNCH Maison,57.09460294008847,56.45047064922282,39.5920796428393
RED BULL,61.00734549432158,59.9725450130025,30.90072507586656
RHUM,47.96510108269731,48.19011681990427,33.44879882541876
RHUM ARRANGE,63.53807074173304,61.110724091017026,31.417151072880028
RICARD,60.525375868783684,57.9935500025749,33.69661528864409
SALADEASIAT,57.450355168034164,55.185699582931434,35.130438900222046
SANGRIA,62.09474443980612,56.07309124255987,45.580461361812944
SAUCE BARBECUE,63.316956678775135,63.18326793548834,38.32110814423365
Sauce Forestière,61.78291666507725,65.5054333329201,53.109271810604135
SAUCE POIVRE,54.52887462483684,54.84597052079846,35.32754357923276
SAUMON,57.44088991915121,58.180558333794295,28.602141514811844
SCHWEPPES,57.681719974379526,54.95016329666643,30.516146547327303
SIROP,57.08828179486258,53.85622106313007,43.489093508687134
SOUPEFRUIT,58.08286473720933,57.01105123107364,33.68740933719736
TAPAS,61.67718221883279,58.65302241131485,37.22759780837723
TARTARE,56.67157656653151,55.17213800526418,34.3227001960486
TEQUILA,79.39950037409149,69.22007151631921,30.895227502100585
THE,60.897344870918154,59.545750000079494,42.954786542580166
THE GLACE,56.352411442007316,55.420977926294356,32.530262147616476
TOURISTE,57.43404103216358,56.77191245089767,31.860740862199147
Verre de Boisson Rouge,71.36674375912796,71.36674375912796,15.447911403055915
Verre de Bordeaux Rouge Agape,67.34878318646207,65.28456220808958,25.767791579664298
VERRE MAX CUVEE,59.23822613514575,55.85536935825861,39.38266712215084
VERRE PAPOLLE BLANC MOEL,59.717905483875626,59.195551428121156,35.24524616002129
VERRE PAPOLLE BLANC SEC,56.25655810685088,51.89214331241235,32.755123603811725
VERRE PAPOLLE ROSE,54.57750252548756,54.7960666656494,33.79333038551257
VERRE PAPOLLE ROUGE,59.54396686733973,58.5231290092698,39.17779620786315
Verre Rosé la Colombette,71.50102691695886,71.6264500021935,21.3950708949009
VODKA,67.22100505759906,50.01160902939758,39.97462909633899
WHISKY,47.892646621265854,45.11038673353643,34.46612629660763
XAMAX,56.21100390396359,54.757508095693495,33.284118667540234
XAMAX MENU,52.72552966161543,53.861305870089154,35.700577405427005
